City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Pevek,69.7008,170.3133,19.67,92,100,2.82,RU,1634141246
Hobart,-42.8794,147.3294,53.26,82,90,3.44,AU,1634141054
New Norfolk,-42.7826,147.0587,52.92,70,100,2.44,AU,1634141141
Hambantota,6.1241,81.1185,80.94,83,0,8.05,LK,1634141269
Bra,44.703,7.8556,66.15,51,51,6.67,IT,1634141270
Hong Kong,22.2855,114.1577,82.38,90,69,11.01,HK,1634141230
Busselton,-33.65,115.3333,49.08,84,0,11.41,AU,1634141270
Jamestown,42.097,-79.2353,69.12,76,90,10.0,US,1634141166
Cape Town,-33.9258,18.4232,70.12,58,100,12.5,ZA,1634141142
Sukumo,32.9333,132.7333,71.35,94,14,2.84,JP,1634141270
Rikitea,-23.1203,-134.9692,74.07,76,98,7.05,PF,1634141138
Dikson,73.5069,80.5464,27.23,90,100,27.76,RU,1634140966
Torbay,47.6666,-52.7314,47.57,93,75,16.11,CA,1634141133
Atakpamé,7.5333,1.1333,88.2,58,47,4.65,TG,1634141271
Pāli,25.7667,73.3333,85.05,32,0,1.92,IN,1634141271
Verāval,20.9,70.3667,84.92,71,1,2.06,IN,1634141272
Mahébourg,-20.4081,57.7,74.25,78,36,7.61,MU,1634141272
Ushuaia,-54.8,-68.3,51.46,50,40,13.8,AR,1634141272
Punta Arenas,-53.15,-70.9167,50.11,50,40,28.77,CL,1634141140
Aden,12.7794,45.0367,86.2,64,49,11.14,YE,1634140985
Tiksi,71.6872,128.8694,19.13,91,96,12.64,RU,1634141273
Avarua,-21.2078,-159.775,75.25,73,20,10.36,CK,1634141149
Wageningen,51.97,5.6667,56.84,82,90,4.61,NL,1634141273
Yumen,40.2833,97.2,44.96,35,1,12.62,CN,1634141274
Nanortalik,60.1432,-45.2371,43.66,65,46,3.65,GL,1634141247
Ponta do Sol,32.6667,-17.1,75.83,73,63,1.86,PT,1634141274
Cap-aux-Meules,47.3821,-61.8597,54.61,75,100,1.61,CA,1634141274
Aripuanã,-9.1667,-60.6333,98.91,34,33,4.45,BR,1634141275
Nueve de Julio,-35.4444,-60.8831,62.71,74,100,4.0,AR,1634141275
Saskylakh,71.9167,114.0833,5.79,98,93,5.32,RU,1634141275
Albany,42.6001,-73.9662,68.74,83,1,1.16,US,1634141029
Fuerte Olimpo,-21.0415,-57.8738,102.76,30,39,13.87,PY,1634141276
Poum,-20.2333,164.0167,73.13,82,57,14.03,NC,1634141260
Kapaa,22.0752,-159.319,78.78,81,88,1.01,US,1634141276
La Palma,33.8464,-118.0467,67.82,44,1,1.99,US,1634141277
Mar del Plata,-38.0023,-57.5575,62.62,61,90,5.99,AR,1634141277
Smithers,54.7804,-127.1743,34.86,88,100,2.66,CA,1634140978
Huaiyuan,32.973,117.1995,67.8,83,96,9.15,CN,1634141277
Butaritari,3.0707,172.7902,80.69,71,0,10.09,KI,1634141278
Hermanus,-34.4187,19.2345,69.91,74,100,5.37,ZA,1634141278
São João da Barra,-21.6403,-41.0511,77.09,76,15,9.6,BR,1634141278
Mil'kovo,54.7167,158.6167,33.73,64,40,8.32,RU,1634141278
Tuktoyaktuk,69.4541,-133.0374,30.27,97,100,16.17,CA,1634141279
Kargasok,59.0556,80.8572,30.6,75,100,6.67,RU,1634141279
Nikolskoye,59.7035,30.7861,47.39,89,76,4.47,RU,1634141279
Naze,28.3667,129.4833,76.6,77,74,12.77,JP,1634141280
Yellowknife,62.456,-114.3525,45.41,82,100,14.97,CA,1634141280
Bluff,-46.6,168.3333,46.92,77,100,6.2,NZ,1634141280
Rio de Janeiro,-22.9028,-43.2075,82.31,65,40,10.36,BR,1634141281
Mataura,-46.1927,168.8643,41.32,82,100,1.79,NZ,1634141281
Cherskiy,68.75,161.3,-7.38,93,67,1.99,RU,1634141281
Marabu,4.4148,114.0089,79.88,86,100,1.12,MY,1634141282
Bengkulu,-3.8004,102.2655,75.99,93,100,3.89,ID,1634141283
Kruisfontein,-34.0033,24.7314,65.88,60,99,4.21,ZA,1634141283
Luan,46.3592,6.9759,48.69,74,41,1.99,CH,1634141283
Chokurdakh,70.6333,147.9167,15.4,96,100,6.8,RU,1634141232
Lebu,-37.6167,-73.65,56.64,73,93,17.78,CL,1634141284
Bethel,41.3712,-73.414,70.93,81,90,6.91,US,1634141240
Harper,4.375,-7.7169,82.44,75,45,9.75,LR,1634141285
Deputatsky,69.3,139.9,16.18,94,100,4.43,RU,1634141213
Mount Gambier,-37.8333,140.7667,40.91,93,94,5.75,AU,1634141286
Derzhavīnsk,51.1,66.3167,46.53,57,97,2.48,KZ,1634141286
Barrow,71.2906,-156.7887,28.42,86,90,21.85,US,1634141287
Numan,9.4667,12.0333,94.5,38,0,1.7,NG,1634141287
Bandarbeyla,9.4942,50.8122,79.52,82,42,12.88,SO,1634141288
Acaraú,-2.8856,-40.12,88.11,53,70,20.92,BR,1634141288
Esperance,-33.8667,121.9,55.49,71,100,12.66,AU,1634141288
Puerto Ayora,-0.7393,-90.3518,70.56,79,91,11.03,EC,1634141203
Hofn,64.2539,-15.2082,44.62,57,75,25.32,IS,1634141289
Ishigaki,24.3448,124.1572,82.29,82,100,19.98,JP,1634141289
Atuona,-9.8,-139.0333,76.59,79,43,17.74,PF,1634141289
Pisco,-13.7,-76.2167,65.01,82,90,6.91,PE,1634141106
Pangai,-19.8,-174.35,73.81,56,97,2.82,TO,1634141290
Mount Isa,-20.7333,139.5,73.17,49,40,6.91,AU,1634141290
Roebourne,-20.7833,117.1333,75.45,46,5,1.99,AU,1634141291
Hasaki,35.7333,140.8333,61.29,83,100,16.8,JP,1634141291
Lakes Entrance,-37.8811,147.981,58.15,86,92,14.99,AU,1634141291
Katsuura,35.1333,140.3,65.19,88,100,15.7,JP,1634141291
Ugoofaaru,5.6667,73.0,82.72,80,62,18.86,MV,1634141292
Abhar,36.1468,49.218,65.43,23,17,2.95,IR,1634141292
Bayevo,53.2833,80.7667,39.04,91,100,5.21,RU,1634141292
Simpang,-1.2667,104.0833,75.63,95,70,3.18,ID,1634141293
Saldanha,-33.0117,17.9442,63.7,78,99,17.22,ZA,1634141293
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,90.97,37,77,10.87,AR,1634141293
Ampanihy,-24.7,44.75,76.51,43,0,8.55,MG,1634141294
Eirunepé,-6.6603,-69.8736,97.29,38,53,4.16,BR,1634141294
Wukari,7.85,9.7833,89.17,59,28,7.38,NG,1634141294
Nantucket,41.2835,-70.0995,73.62,70,1,5.75,US,1634141014
Itoman,26.1247,127.6694,81.37,80,75,5.75,JP,1634141295
Bredasdorp,-34.5322,20.0403,65.28,67,99,5.73,ZA,1634141150
Lanzhou,36.0564,103.7922,50.29,32,100,7.02,CN,1634141295
Ancud,-41.8697,-73.8203,51.33,88,100,22.66,CL,1634141296
Faanui,-16.4833,-151.75,79.92,77,100,8.79,PF,1634141181
Alofi,-19.0595,-169.9187,73.53,65,8,7.96,NU,1634141296
Kaitangata,-46.2817,169.8464,42.82,84,100,6.13,NZ,1634141296
Saint-Philippe,-21.3585,55.7679,74.79,87,52,8.16,RE,1634141297
Geraldton,-28.7667,114.6,54.12,82,3,5.75,AU,1634141297
Marzuq,14.4,46.4667,81.48,31,62,3.67,YE,1634141297
Cayenne,4.9333,-52.3333,91.44,74,75,5.01,GF,1634141098
Vaini,-21.2,-175.2,60.96,100,40,2.3,TO,1634141298
Lavrentiya,65.5833,-171.0,28.29,80,100,8.81,RU,1634141298
Hithadhoo,-0.6,73.0833,83.19,76,80,18.75,MV,1634141298
Knysna,-34.0363,23.0471,67.55,60,99,3.71,ZA,1634141299
Chkalovskoye,44.8392,133.0436,51.35,66,100,9.84,RU,1634141299
Saint George,37.1041,-113.5841,52.36,65,1,1.01,US,1634141127
Abomsa,9.9833,39.9833,77.16,36,99,4.7,ET,1634141299
Areosa,41.7178,-8.8571,82.96,43,0,7.0,PT,1634141300
Laguna,38.421,-121.4238,59.59,45,90,3.0,US,1634141300
Clyde River,70.4692,-68.5914,32.31,90,99,3.74,CA,1634141257
Barvikha,55.74,37.27,54.36,71,0,6.71,RU,1634141300
Quang Ngai,15.1167,108.8,75.72,89,100,3.83,VN,1634141301
Port Alfred,-33.5906,26.891,68.36,78,93,9.95,ZA,1634141071
Tashtagol,52.7657,87.8894,30.2,95,100,1.59,RU,1634141301
Chiredzi,-21.05,31.6667,82.81,13,0,5.91,ZW,1634141301
Talnakh,69.4865,88.3972,18.01,95,100,11.12,RU,1634141302
Burnie,-41.0667,145.9167,51.94,90,100,20.38,AU,1634141302
Ribeira Grande,38.5167,-28.7,73.8,73,75,12.66,PT,1634141302
Ternate,0.8,127.4,81.97,78,56,2.84,ID,1634141303
Zhigansk,66.7697,123.3711,12.96,97,98,8.08,RU,1634141303
Lázaro Cárdenas,17.9583,-102.2,83.62,76,60,1.19,MX,1634141303
Saint Paul Harbor,57.79,-152.4072,43.36,82,96,4.63,US,1634141155
Henties Bay,-22.116,14.2845,61.86,82,35,10.18,NA,1634141304
Kvarkeno,52.0833,59.725,48.54,53,1,4.09,RU,1634141304
Vitim,59.4511,112.5578,23.32,63,100,1.61,RU,1634141304
Cidreira,-30.1811,-50.2056,71.49,78,99,16.46,BR,1634141305
Road Town,18.4167,-64.6167,85.19,79,20,12.66,VG,1634141211
Lagoa,39.05,-27.9833,70.25,70,39,6.4,PT,1634141305
Port Elizabeth,-33.918,25.5701,68.09,78,92,5.61,ZA,1634141306
Tasiilaq,65.6145,-37.6368,37.56,56,19,1.21,GL,1634141306
Aksarka,66.5606,67.7975,32.25,92,96,7.92,RU,1634141306
Arraial do Cabo,-22.9661,-42.0278,75.06,78,40,23.02,BR,1634141306
Tomohon,1.3346,124.8392,68.94,91,100,1.63,ID,1634141307
Tongzi,28.7829,105.0877,63.91,88,100,1.81,CN,1634141307
Qaanaaq,77.484,-69.3632,30.76,85,100,5.64,GL,1634141170
Noumea,-22.2763,166.4572,73.0,99,12,6.13,NC,1634141308
Meulaboh,4.1363,96.1285,78.08,84,58,1.1,ID,1634141308
Lüderitz,-26.6481,15.1594,61.39,81,57,5.26,NA,1634141308
Bambous Virieux,-20.3428,57.7575,74.21,78,41,7.38,MU,1634141309
Baft,29.234,56.6057,61.48,17,0,5.59,IR,1634141309
Rumoi,43.9344,141.6428,49.98,89,3,6.69,JP,1634141309
São Gabriel da Cachoeira,-0.1303,-67.0892,94.84,45,20,2.17,BR,1634141309
George Town,5.4112,100.3354,82.33,74,72,2.3,MY,1634141310
Gamba,-2.65,10.0,80.13,77,66,10.85,GA,1634141310
Lengshuijiang,27.6881,111.4294,60.24,76,100,2.98,CN,1634141310
Kargil,34.5667,76.1,45.18,29,5,6.69,IN,1634141311
Fairbanks,64.8378,-147.7164,30.16,79,90,0.0,US,1634141311
Khatanga,71.9667,102.5,4.95,98,97,7.09,RU,1634141311
Scarborough,54.2797,-0.4044,59.52,79,98,1.01,GB,1634141051
Longyearbyen,78.2186,15.6401,30.04,69,75,10.36,SJ,1634141236
Asaba,6.2006,6.7338,77.56,90,94,8.75,NG,1634141312
Kismayo,-0.3582,42.5454,77.45,78,100,13.8,SO,1634141312
Jacmel,18.2342,-72.5347,82.24,68,65,5.88,HT,1634141313
Uniontown,39.9001,-79.7164,71.83,47,97,6.42,US,1634141313
Raja,8.4596,25.678,74.34,86,98,0.67,SS,1634141313
Ahipara,-35.1667,173.1667,49.98,79,4,9.06,NZ,1634141314
Khartoum,15.5518,32.5324,91.02,46,88,16.26,SD,1634141211
Pallisa,1.145,33.7094,71.06,73,15,2.35,UG,1634141314
Tartous,34.889,35.8866,75.42,62,85,5.99,SY,1634141314
Belomorsk,64.5232,34.7668,43.07,91,100,2.95,RU,1634141315
San Carlos del Zulia,9.0,-71.9135,91.78,55,24,5.17,VE,1634141315
Kwinana,-32.25,115.7667,58.14,76,0,9.04,AU,1634141315
Provideniya,64.3833,-173.3,25.3,82,45,5.55,RU,1634141316
Safidon,29.4167,76.6667,77.59,29,0,6.96,IN,1634141316
Ndjolé,-0.1783,10.7649,79.81,92,76,3.29,GA,1634141316
Sarajevo,43.8486,18.3564,42.71,86,90,10.0,BA,1634141228
Buala,-8.145,159.5921,79.7,80,48,2.06,SB,1634141317
Bathsheba,13.2167,-59.5167,90.21,66,40,20.71,BB,1634141317
Abu Kamal,34.4506,40.9171,82.24,35,100,9.24,SY,1634141317
Turbat,26.0023,63.044,83.89,7,0,19.35,PK,1634141318
Hilo,19.7297,-155.09,73.13,95,90,4.61,US,1634141135
Olafsvik,64.8945,-23.7142,40.19,68,78,26.08,IS,1634141318
Arrondissement du Havre,49.5833,0.3333,61.57,72,0,6.91,FR,1634141318
Isangel,-19.55,169.2667,74.62,93,98,13.53,VU,1634141319
Dicabisagan,17.0818,122.4157,78.69,92,100,0.43,PH,1634141319
Avera,33.194,-82.5271,78.67,58,40,5.59,US,1634141319
Iqaluit,63.7506,-68.5145,38.7,69,39,10.0,CA,1634141320
Kiama,-34.6833,150.8667,62.46,88,100,11.99,AU,1634141320
Assiniboia,49.6334,-105.9845,35.22,90,100,6.64,CA,1634141320
La Ronge,55.1001,-105.2842,37.96,69,0,6.91,CA,1634141321
Cairns,-16.9167,145.7667,75.07,92,75,1.14,AU,1634141321
Hornepayne,49.2138,-84.7705,49.46,97,100,7.63,CA,1634141321
Hamilton,39.1834,-84.5333,74.39,72,1,1.01,US,1634141040
Ulladulla,-35.35,150.4667,62.1,95,100,12.3,AU,1634141322
Leiyang,26.4024,112.8591,61.43,78,100,6.08,CN,1634141322
Suntar,62.1444,117.6319,22.23,68,44,5.57,RU,1634141322
Nemuro,43.3236,145.575,53.8,71,68,9.01,JP,1634141323
Vila Franca do Campo,37.7167,-25.4333,72.01,70,100,7.11,PT,1634141323
Tuatapere,-46.1333,167.6833,40.06,82,82,2.15,NZ,1634141323
Jalu,29.0331,21.5482,80.94,33,0,8.1,LY,1634141323
Port Lincoln,-34.7333,135.8667,49.05,88,77,11.54,AU,1634141324
Matamoros,25.5333,-103.25,64.51,100,90,5.75,MX,1634141324
Ginir,7.1333,40.7,62.11,79,95,4.03,ET,1634141324
Thompson,55.7435,-97.8558,42.67,79,99,7.9,CA,1634141325
Umeå,63.8284,20.2597,37.9,81,0,2.3,SE,1634141325
Illela,13.7292,5.2975,101.16,11,2,3.27,NG,1634141325
Santa Fe,-31.6333,-60.7,62.74,96,100,1.01,AR,1634141326
Kitimat,54.0524,-128.6534,43.92,28,100,4.5,CA,1634141326
Camacha,33.0833,-16.3333,72.36,60,20,9.22,PT,1634141326
Necochea,-38.5473,-58.7368,64.04,76,100,3.42,AR,1634141327
Castro,-24.7911,-50.0119,75.65,50,12,3.4,BR,1634141327
Mokhsogollokh,61.4681,128.9203,15.42,97,37,3.44,RU,1634141328
Novy Urengoy,66.0833,76.6333,31.66,98,100,14.65,RU,1634141199
Tura,25.5198,90.2201,75.54,85,8,3.53,IN,1634141329
Port Blair,11.6667,92.75,81.1,86,100,12.44,IN,1634141220
Carnarvon,-24.8667,113.6333,64.47,82,0,12.66,AU,1634141329
Iglino,54.8324,56.4126,42.89,61,27,4.5,RU,1634141330
Aykhal,66.0,111.5,12.42,96,98,7.61,RU,1634141330
Borovskoy,53.8,64.15,47.14,63,16,2.62,KZ,1634141331
Kailua,21.4022,-157.7394,78.78,76,75,12.66,US,1634141331
Kudahuvadhoo,2.6708,72.8944,83.14,77,75,17.63,MV,1634141331
Fort Nelson,58.8053,-122.7002,33.98,66,74,2.71,CA,1634141047
Pitimbu,-7.4706,-34.8086,88.39,62,96,11.77,BR,1634141332
Kahului,20.8947,-156.47,76.26,94,75,17.27,US,1634141146
Marrakesh,31.6315,-8.0083,82.47,44,40,4.61,MA,1634141332
Narsaq,60.9167,-46.05,41.22,49,1,1.74,GL,1634141332
Chui,-33.6971,-53.4616,71.87,67,100,6.76,UY,1634141333
Kolokani,13.5728,-8.0339,88.72,43,51,11.39,ML,1634141333
Mossamedes,-15.1961,12.1522,69.28,80,31,13.24,AO,1634141333
Atar,20.5169,-13.0499,103.86,8,81,7.92,MR,1634141334
Batagay-Alyta,67.8006,130.4114,14.99,92,99,4.32,RU,1634141334
Cabedelo,-6.9811,-34.8339,88.47,62,85,12.48,BR,1634141041
Pingliang,35.5392,106.6861,47.64,55,100,7.94,CN,1634141335
Yulara,-25.2406,130.9889,60.64,25,0,11.5,AU,1634141335
Niquero,20.0431,-77.5828,84.76,69,30,3.98,CU,1634141335
Salinópolis,-0.6136,-47.3561,85.23,64,92,11.74,BR,1634141179
Souillac,-20.5167,57.5167,74.35,80,40,7.81,MU,1634141247
Moyale,3.5167,39.0584,77.18,47,95,13.02,KE,1634141336
Sahuaripa,29.05,-109.2333,73.22,57,17,0.67,MX,1634141336
Margate,51.3813,1.3862,62.91,70,66,1.99,GB,1634141336
Yanam,16.7333,82.2167,84.6,90,100,2.13,IN,1634141337
Port Augusta,-32.5,137.7667,53.74,62,29,10.83,AU,1634141337
‘Āhuimanu,21.4447,-157.8378,78.51,75,75,12.66,US,1634141337
Hervey Bay,-25.2986,152.8535,74.03,86,65,9.86,AU,1634141338
San Cristobal,7.7669,-72.225,84.38,40,8,6.31,VE,1634141338
Faya,18.3851,42.4509,70.32,22,93,7.2,SA,1634141338
Guerrero Negro,27.9769,-114.0611,68.4,47,0,3.24,MX,1634141339
Asău,46.4333,26.4,49.39,67,100,3.06,RO,1634141339
Salalah,17.0151,54.0924,80.69,78,0,3.44,OM,1634141122
San Patricio,28.017,-97.5169,89.02,59,50,21.05,US,1634141340
Norman Wells,65.282,-126.8329,22.3,97,91,4.0,CA,1634141233
Kokopo,-4.352,152.2633,78.28,82,100,3.65,PG,1634141340
Inzer,54.2167,57.5556,46.78,77,19,2.24,RU,1634141340
Nizhniy Kuranakh,58.8353,125.4869,19.13,86,96,2.17,RU,1634141341
Corn Island,12.1694,-83.0418,82.56,70,6,2.64,NI,1634141341
Isla Mujeres,21.2311,-86.731,86.16,62,22,6.96,MX,1634141342
San Vicente de Cañete,-13.0751,-76.3835,67.37,73,79,8.16,PE,1634141343
Nikol'sk,53.7189,46.0712,51.67,47,56,12.84,RU,1634141343
Leningradskiy,69.3833,178.4167,15.03,97,94,5.37,RU,1634141210
Samagaltay,50.6022,95.0047,22.91,81,50,5.39,RU,1634141344
Andenes,69.3143,16.1194,37.38,81,75,9.22,NO,1634141245
Belaya Rechka,43.4381,43.535,50.43,94,90,6.71,RU,1634141344
Verkhovazh'ye,60.7472,42.0465,45.95,86,100,11.5,RU,1634141344
Padang,-0.9492,100.3543,77.05,85,92,1.66,ID,1634141345
Codrington,-38.2667,141.9667,46.33,96,100,6.82,AU,1634141345
Nome,64.5011,-165.4064,32.07,86,90,0.0,US,1634141345
Ulaangom,49.9811,92.0667,34.9,55,48,4.29,MN,1634141346
Miranda,3.2499,-76.2281,83.64,68,62,3.91,CO,1634141346
Merke,42.8728,73.1786,47.61,44,0,2.59,KZ,1634141346
Quatre Cocos,-20.2078,57.7625,74.08,78,59,7.54,MU,1634141347
Samarai,-10.6167,150.6667,79.79,85,71,7.52,PG,1634141347
Baker City,44.7749,-117.8344,37.6,53,90,0.0,US,1634141322
Marawi,7.9986,124.2928,67.64,95,99,1.74,PH,1634141347
College,64.8569,-147.8028,30.15,78,90,5.75,US,1634141082
Malanje,-9.5402,16.341,82.47,39,87,6.38,AO,1634141348
Krasnooktyabrskiy,44.9328,38.3712,63.09,87,13,7.0,RU,1634141348
Oriximiná,-1.7656,-55.8661,100.0,30,13,4.05,BR,1634141238
Ngama,11.7833,17.1667,97.36,18,73,7.58,TD,1634141348
Socorro,31.6546,-106.3033,62.46,25,1,6.91,US,1634141063
Thanh Hoa,19.8,105.7667,71.2,91,100,18.39,VN,1634141349
Nishihara,26.1842,127.7558,80.65,81,75,10.36,JP,1634141349
Okhotsk,59.3833,143.3,19.71,70,0,16.49,RU,1634141350
Shawville,45.6001,-76.4827,68.79,87,99,4.85,CA,1634141350
Pangnirtung,66.1451,-65.7125,35.6,87,90,16.11,CA,1634141298
Aklavik,68.2191,-135.0107,28.4,86,90,16.11,CA,1634141230
Almaznyy,48.0448,40.045,57.34,51,100,17.6,RU,1634141350
Dawei,14.0833,98.2,76.17,96,100,2.3,MM,1634141351
St. Marys,30.7305,-81.5465,86.13,75,90,10.0,US,1634141351
Omboué,-1.5746,9.2618,80.42,80,83,11.68,GA,1634141351
Gewanē,10.1664,40.6453,93.42,23,80,9.95,ET,1634141352
Pauini,-7.7136,-66.9764,92.64,46,94,4.99,BR,1634141352
Bucerías,20.75,-105.3333,86.99,74,90,5.75,MX,1634141352
Lagos,6.5833,3.75,85.8,72,56,7.72,NG,1634140984
Warrington,53.3925,-2.5802,57.36,90,75,3.0,GB,1634141353
Jatiroto,-7.8833,111.1167,73.9,82,57,4.29,ID,1634141286
Vilcún,-38.65,-72.2333,56.14,63,94,11.81,CL,1634141353
